Login Date,IP Address,User Agent,Login Type
Wed Aug 14 13:50:19 UTC 2024,136.158.39.25,LIAuthLibrary:0.0.3 com.linkedin.android:4.1.969 samsung_SM-A226B:android_13,Login
Wed Aug 21 11:06:20 UTC 2024,136.158.39.147,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Safari/537.36",Login
Mon Sep 16 12:04:38 UTC 2024,136.158.39.222,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36 Edg/128.0.0.0",Login
Wed Oct 09 09:08:13 UTC 2024,13.212.193.201,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.0.0 Safari/537.36 Edg/129.0.0.0",Login
Tue Nov 12 07:17:26 UTC 2024,45.114.134.214,LIAuthLibrary:0.0.3 com.linkedin.android:4.1.969 samsung_SM-A226B:android_13,Login
Wed Mar 12 12:38:35 UTC 2025,136.158.39.147,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36 Edg/134.0.0.0",Login
Sun Aug 17 12:21:34 UTC 2025,136.158.39.239,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36 Edg/138.0.0.0",Login
